District,Soil Color,Crop Type,Nitrogen,Phosphorus,Potassium,pH,Rainfall,Temperature,Fertilizer
Solapur,Black,Wheat,60,28,41,6.609773186556957,807.6572795872587,25.779852576662957,DAP
Kolhapur,Red,Sugarcane,70,51,44,6.797145443799785,1244.0335658128845,26.23226048212097,10:26:26 NPK
Solapur,Black,Wheat,45,34,48,6.33942256934953,981.7469414658427,23.345128744958295,DAP
Solapur,Clayey,Soybean,48,43,54,6.111660211144772,1215.3826379483376,28.84027793976483,DAP
Solapur,Red,Pomegranate,44,44,64,6.641758681987926,711.7585885187298,32.18689074856847,19:19:19 NPK
Satara,Clayey,Grapes,59,46,68,5.6733692615798486,771.4485853915057,22.617929472296968,19:19:19 NPK
Kolhapur,Red,Maize,53,47,48,6.21977711974072,1401.3625850772528,30.20678976647546,Urea
Satara,Red,Sugarcane,71,41,42,7.46036558872529,628.0577959532005,25.44497327994941,Urea
Solapur,Clayey,Grapes,64,47,77,7.343675671181208,1114.6674059790585,33.48237093147237,19:19:19 NPK
Solapur,Clayey,Soybean,37,38,58,6.1801905041605245,682.5521841640486,29.64611169640072,DAP
Kolhapur,Clayey,Grapes,59,39,30,6.922556430391287,947.9493055093158,30.648776936432913,19:19:19 NPK
Satara,Black,Cotton,70,73,63,6.394469444450885,514.3390326242061,22.866148301740893,20:20:0:13
Pune,Red,Sugarcane,49,51,53,6.891549552580288,993.7895852969908,29.885332083594434,Urea
Satara,Red,Sugarcane,62,36,68,7.45799227667594,918.2578107538129,24.419159863618816,10:26:26 NPK
Solapur,Red,Pomegranate,40,51,25,6.4345473539572415,1122.2133247247252,23.01372059124307,MOP
Sangli,Red,Moong,59,39,50,6.458616264817012,739.4730407904074,23.998118177673327,DAP
Pune,Red,Wheat,43,41,67,6.7395172274309765,1097.8263229432769,23.880801154582127,Ammonium Sulphate
Satara,Black,Tur,48,80,62,6.2389207007023035,546.4189580197316,28.08277026546065,10:26:26 NPK
Kolhapur,Black,Pomegranate,45,41,23,5.794435013284902,508.5834438321179,34.127370561277544,MOP
Kolhapur,Black,Soybean,99,63,61,5.684564853819401,1493.2811997959147,20.045242205204165,Ammonium Sulphate
Pune,Clayey,Grapes,90,72,63,6.323784592707103,1450.4556937808848,23.473102586656793,19:19:19 NPK
Sangli,Black,Cotton,91,52,41,6.149477905342481,533.4247546072467,26.77957406039014,20:20:0:13
Sangli,Black,Pomegranate,49,56,32,7.346516986869847,442.56388897663123,26.570374461760533,MOP
Pune,Red,Moong,35,40,43,7.296491229418361,402.9891387054234,21.141456488497163,DAP
Satara,Black,Soybean,43,49,36,6.173264791232466,405.32914575473416,27.902623336578234,Ammonium Sulphate
Solapur,Clayey,Soybean,45,20,47,5.672253887505143,820.5796213560841,20.456541827593185,DAP
Satara,Red,Sugarcane,48,55,53,5.880831911548393,625.3943906751797,22.147768252445353,Urea
Pune,Red,Pomegranate,91,72,31,7.41750998089491,1462.4831680551654,25.59650083678483,19:19:19 NPK
Sangli,Black,Sugarcane,23,46,55,5.838285165828596,1290.206922121251,28.53242824314308,Urea
Pune,Black,Wheat,39,27,57,6.714630223700466,1229.2524580280524,33.4065010903178,DAP
Sangli,Red,Sugarcane,62,49,54,5.867108441662423,1387.2222962109838,29.120739071182186,Urea
Satara,Red,Sugarcane,25,44,45,5.8668200319101285,485.54204222181556,20.529532848247698,Urea
Solapur,Red,Wheat,58,31,48,6.344069630738886,1372.9791901432018,25.98107391756229,Ammonium Sulphate
Solapur,Black,Cotton,67,42,75,6.609930128233993,681.9063772800553,34.36483985126108,20:20:0:13
Kolhapur,Clayey,Soybean,45,45,44,6.821740401510848,784.3588260311343,32.96466081194368,DAP
Pune,Clayey,Grapes,96,30,35,5.896073313022182,569.2441618503352,32.52911400052416,19:19:19 NPK
Kolhapur,Red,Sugarcane,92,65,43,6.550673282441539,787.3888121180472,29.111705501084938,10:26:26 NPK
Sangli,Red,Pomegranate,95,76,76,6.282619535380226,1124.4981304335297,28.985705116788054,19:19:19 NPK
Pune,Black,Cotton,57,42,46,5.662333570211367,437.10695507347367,33.45905299020528,Urea
Satara,Red,Wheat,83,76,39,6.543838524584989,560.0461913630588,20.343900870500846,Ammonium Sulphate
Kolhapur,Clayey,Grapes,49,60,72,6.101808420476764,707.7378987235032,22.1902502910536,19:19:19 NPK
Solapur,Black,Wheat,31,39,52,6.344682174829655,1120.0891959745509,29.97762515070632,DAP
Solapur,Red,Moong,32,41,40,6.952487246815723,1495.9603625196323,27.091593244409793,DAP
Kolhapur,Red,Grapes,48,52,26,7.260749608505421,1400.0625645362436,33.258229152179325,MOP
Pune,Red,Sugarcane,67,78,43,6.8017818130654035,565.0339388773868,32.96060700381605,10:26:26 NPK
Solapur,Black,Cotton,60,68,34,7.047894949768544,1363.7246377339427,26.04793781270412,20:20:0:13
Satara,Red,Moong,42,21,41,6.844425405502423,787.7504486573232,22.250626896795808,DAP
Pune,Clayey,Grapes,100,51,60,6.449978728325527,1484.52664114726,34.21691447998113,19:19:19 NPK
Solapur,Clayey,Soybean,53,48,46,5.807891477873387,1236.8211678476641,29.082479739448353,DAP
Sangli,Red,Cotton,64,57,58,5.647783688795604,1279.6209753332732,31.228638340448846,Urea
Satara,Clayey,Sugarcane,78,51,55,6.491414793083244,1031.1323447354844,27.03664864263069,Urea
Solapur,Red,Sugarcane,97,52,43,6.507597790550207,477.94313326226995,28.89511831981921,10:26:26 NPK
Solapur,Black,Cotton,58,69,55,7.187904032540281,1308.9108351628797,21.680053588215216,20:20:0:13
Pune,Black,Grapes,53,42,38,5.507158724927867,929.1471126530573,22.026488570579513,MOP
Pune,Black,Tur,48,65,34,5.774680097734452,992.5844807725468,22.195376321268878,10:26:26 NPK
Solapur,Black,Cotton,38,54,56,6.055468490644471,725.1049443825934,20.309110180902145,Urea
Kolhapur,Red,Pomegranate,51,55,30,5.5724791253003065,1272.8381112137913,33.102722112743535,MOP
Satara,Clayey,Soybean,37,36,48,6.064247745212016,1030.9466247819,20.1413075896808,DAP
Kolhapur,Red,Pomegranate,61,50,45,5.894458859087315,796.4217472792589,33.573725793706025,19:19:19 NPK
Pune,Red,Sugarcane,47,60,56,6.746921324358902,889.3734024872177,33.11972305348567,10:26:26 NPK
Pune,Red,Sugarcane,51,66,68,5.857682669640758,563.5449059848859,28.19545055549321,10:26:26 NPK
Satara,Red,Maize,20,45,41,7.111248226759414,794.6191660930223,28.649507438023136,Urea
Pune,Black,Sugarcane,51,47,48,7.0995623465751425,1258.9521500113733,22.941753951367478,Urea
Satara,Red,Sugarcane,51,59,46,6.568152494950209,1403.459861703516,20.098923719625528,Urea
Kolhapur,Red,Moong,58,39,40,6.972131748212049,1156.9871028943553,20.464363944727385,DAP
Satara,Black,Grapes,60,44,40,6.330984544186303,948.8504548465918,33.1290527042741,MOP
Sangli,Clayey,Soybean,52,24,44,5.504696855313911,836.7721898650295,34.06040039305023,DAP
Kolhapur,Red,Sugarcane,60,46,45,7.1110229013527455,593.4264916485038,31.443111034431958,10:26:26 NPK
Satara,Red,Wheat,62,74,44,6.237303709970117,458.7858491041045,21.78595855085093,Ammonium Sulphate
Pune,Clayey,Pomegranate,42,45,49,5.854666578071737,1334.3946363438488,21.70577103211102,MOP
Kolhapur,Red,Sugarcane,53,47,61,6.694451946700228,795.0303018201985,20.50682104134684,10:26:26 NPK
Solapur,Black,Soybean,53,74,70,6.548555136113628,1442.924474739386,25.510049088812522,Ammonium Sulphate
Satara,Black,Soybean,67,77,34,5.750436866816584,1050.7696714488357,34.45859911265525,Ammonium Sulphate
Pune,Black,Tur,86,60,32,5.514818305629316,1059.137535016877,32.660401646706305,10:26:26 NPK
Satara,Black,Grapes,42,56,34,6.150569134086491,946.2670862877269,29.137653096469123,MOP
Pune,Black,Sugarcane,57,43,49,6.626214345621181,970.8501781169515,26.132287689949905,Urea
Solapur,Black,Cotton,44,66,42,6.722880523628137,1411.1807809931975,33.98611975779834,20:20:0:13
Pune,Clayey,Cotton,47,43,58,6.758950932920108,996.8751336112103,25.612700893159854,Urea
Satara,Clayey,Pomegranate,43,47,46,6.338902409408631,1366.3497793902866,32.22128389643213,MOP
Kolhapur,Clayey,Grapes,79,33,64,6.492707736871454,772.558295697744,28.75409907091498,19:19:19 NPK
Solapur,Red,Moong,51,26,56,6.807302578482789,1096.8454518725182,20.597765060777867,DAP
Satara,Black,Grapes,53,47,28,5.890754830615313,966.100971606149,26.724655391719214,MOP
Solapur,Clayey,Soybean,49,29,45,7.470825418543632,461.3995409478976,21.426419253035643,DAP
Sangli,Red,Cotton,21,41,53,6.397041560443759,1247.682708019423,22.335983512191106,Urea
Kolhapur,Black,Tur,44,37,49,7.035559197759156,798.4895609727427,23.19119179628765,10:26:26 NPK
Satara,Clayey,Sugarcane,48,44,49,6.308925738585087,1027.3693161405017,28.941996848697283,Urea
Pune,Red,Moong,38,26,49,5.599983132755149,1097.692058046885,32.2054828294813,DAP
Kolhapur,Black,Soybean,77,56,40,6.993263519972746,932.34066732788,32.5579731774764,Ammonium Sulphate
Pune,Clayey,Maize,40,51,53,7.344637019124782,1265.6019216022814,28.119991875018755,Urea
Pune,Clayey,Grapes,40,46,24,6.298781846922793,1390.9422130369812,22.08422792339995,MOP
Satara,Black,Wheat,45,30,46,6.208611432078672,1082.25530549356,22.77477518314522,DAP
Sangli,Black,Sugarcane,20,50,57,7.267585988971899,651.9584069720526,21.6659473259947,Urea
Pune,Red,Wheat,57,75,53,7.134116520916443,871.676482361389,29.26961083653267,Ammonium Sulphate
Pune,Red,Pomegranate,58,60,35,7.104481157535033,1195.584466949224,24.559734152817693,MOP
Pune,Clayey,Pomegranate,49,56,22,6.293383517045534,403.73472501603305,30.81720671129075,MOP
Solapur,Red,Pomegranate,87,57,45,6.114423195071871,877.0535434911781,29.991720561929704,19:19:19 NPK
Satara,Black,Tur,63,64,59,7.079280504591516,451.11480859834694,21.410968585578416,10:26:26 NPK
Satara,Red,Cotton,60,55,54,5.5047972657276265,991.0719384433352,23.668577645590148,Urea
Sangli,Black,Soybean,50,47,46,6.740678841637504,1493.4592534269054,21.480466086491,Ammonium Sulphate
Pune,Black,Wheat,37,28,50,7.197238371351364,415.7050327092114,33.437464074389084,DAP
Pune,Black,Tur,56,79,45,6.576333293164329,589.5152665981807,32.32887453472332,10:26:26 NPK
Kolhapur,Black,Cotton,95,65,67,6.882014680681417,550.4105756028864,32.420763106454146,20:20:0:13
Pune,Black,Grapes,52,40,24,6.116354920995779,1236.6807544731107,33.591217066285,MOP
Solapur,Red,Sugarcane,50,48,57,6.865240779106299,1396.135091623552,31.00105766758667,Urea
Kolhapur,Black,Tur,71,69,43,6.255201786747478,916.8373214499977,31.060580913694334,10:26:26 NPK
Kolhapur,Black,Soybean,69,43,45,6.735403117338375,469.1202244436889,34.429250163841346,Ammonium Sulphate
Solapur,Black,Wheat,49,28,42,7.389495899040363,762.7035586077079,24.626653245205283,DAP
Satara,Black,Sugarcane,29,58,56,6.852624101902713,915.7364599681323,26.120114564434925,Urea
Solapur,Red,Sugarcane,50,68,68,6.331278636126912,964.3351687017177,29.122913637111004,10:26:26 NPK
Solapur,Black,Wheat,52,23,47,6.082736528745565,968.1051511832031,31.123323050826013,DAP
Sangli,Red,Pomegranate,94,68,62,6.411558640846447,569.2211768437411,32.07567020503933,19:19:19 NPK
Solapur,Red,Wheat,97,71,60,7.14443961016886,1176.4818312859607,33.33224280033982,Ammonium Sulphate
Kolhapur,Red,Maize,30,40,42,6.084314122581699,720.0950610193445,25.12643455674454,Urea
Sangli,Red,Moong,41,31,51,7.041504929020771,938.427487562039,26.19901060690956,DAP
Satara,Black,Cotton,72,33,47,6.353898020928209,409.9307527228588,28.835025115280924,20:20:0:13
Sangli,Clayey,Pomegranate,58,41,27,6.236919628939521,1014.0906804943403,32.82821284582974,MOP
Solapur,Black,Wheat,53,32,58,6.530533821841264,513.8780037535574,30.997787154201287,DAP
Pune,Red,Grapes,59,54,23,5.570683468635127,443.5082971830481,23.40079662335846,MOP
Kolhapur,Clayey,Grapes,44,45,29,6.616315591860241,832.508447650969,34.919394407151586,MOP
Pune,Red,Cotton,26,60,45,6.62170911257986,862.4587944915422,26.07397442980538,Urea
Sangli,Black,Tur,55,61,54,6.038947093026636,1037.5509920080785,33.7852911824579,10:26:26 NPK
Satara,Red,Sugarcane,66,39,62,7.270718905220011,484.54248170645457,30.197824117455077,10:26:26 NPK
Sangli,Black,Cotton,50,43,49,5.56624941420025,1355.5802314001562,31.833355205164672,Urea
Satara,Red,Sugarcane,56,52,49,6.9023762598503495,578.8975302687559,32.22786183319887,10:26:26 NPK
Satara,Red,Sugarcane,86,60,45,7.180584836352743,1089.944931673168,21.38797641857247,Urea
Pune,Clayey,Soybean,33,25,53,6.719912255669717,1354.5075255935922,28.342345619126803,DAP
Pune,Clayey,Grapes,74,60,62,6.302431894958161,1477.8947754925955,32.09287072264865,19:19:19 NPK
Solapur,Clayey,Maize,24,54,57,7.3364828951344725,428.1079512643204,24.365030115514582,Urea
Satara,Black,Maize,25,59,53,7.273420844658582,895.9170517451821,25.472080667809365,Urea
Pune,Black,Cotton,91,46,58,5.841386180130607,687.06204766503,23.13750578562147,20:20:0:13
Pune,Red,Sugarcane,43,59,63,5.511452654546465,1064.5083994759743,31.159778132098182,10:26:26 NPK
Pune,Clayey,Sugarcane,80,59,46,6.98009230848174,732.8417630312466,20.50390010863001,Urea
Satara,Clayey,Grapes,59,48,32,6.115062768894668,983.9028336398336,31.19551877009522,19:19:19 NPK
Satara,Red,Grapes,57,58,27,6.2299283554032705,1446.2466056846852,22.611079166974847,MOP
Satara,Red,Pomegranate,54,58,35,6.660806133252348,1301.0604167947092,31.7745446742872,MOP
Pune,Red,Pomegranate,44,49,48,5.607282044208555,1455.0299214539655,22.427658263717852,MOP
Pune,Black,Wheat,55,38,49,6.325211384552306,1298.579114432045,27.95582811811074,DAP
Pune,Black,Cotton,99,78,31,6.946659831069766,1119.9016756200886,27.997464811232042,20:20:0:13
Sangli,Clayey,Grapes,69,47,35,5.601588250273763,1044.1924789430664,24.189615921494106,19:19:19 NPK
Sangli,Red,Pomegranate,53,54,41,6.892705548298779,1241.0969158851408,31.03791849875826,MOP
Satara,Black,Soybean,98,64,42,6.8783988893378085,979.9844664265303,21.79897057022056,Ammonium Sulphate
Kolhapur,Black,Pomegranate,53,41,40,5.582045193886012,954.3771987696294,29.651155221884473,MOP
Satara,Black,Pomegranate,55,58,34,6.472347308549081,1443.3549337930008,34.21332225655631,MOP
Sangli,Clayey,Grapes,48,46,43,5.5678904280940404,1439.7816737864712,30.41991265431715,MOP
Satara,Clayey,Soybean,32,32,57,6.907053699093957,683.3222443364975,29.174423200360522,DAP
Satara,Clayey,Soybean,30,45,56,6.187862908184557,1078.9526121526096,33.45763822191206,DAP
Satara,Black,Soybean,75,80,80,6.846698903130882,1471.8330910090544,33.7766599598346,Ammonium Sulphate
Sangli,Red,Moong,35,29,40,5.777862298805743,423.71658276497647,32.00765401478221,DAP
Sangli,Black,Maize,25,56,54,7.499001580027867,439.6822066704664,22.932529053437115,Urea
Solapur,Black,Wheat,44,26,43,5.652563068842323,587.8054536662895,25.21655040738682,DAP
Sangli,Clayey,Grapes,81,54,36,5.6385339929333025,1023.7737146842529,31.986445744757695,19:19:19 NPK
Pune,Black,Wheat,45,24,47,6.569905760375229,1448.9432128913834,26.266494713409806,DAP
Solapur,Black,Soybean,87,57,38,7.081000214827147,1024.7726870833112,21.692149454154556,Ammonium Sulphate
Kolhapur,Clayey,Grapes,81,42,45,6.2515585588800295,597.622999465656,27.210774117027732,19:19:19 NPK
Kolhapur,Black,Tur,43,36,63,6.657626524786619,831.5512746666644,27.963758872572022,10:26:26 NPK
Solapur,Red,Pomegranate,48,48,48,5.8232240323635756,939.7791141154863,29.28063010529849,MOP
Pune,Red,Wheat,52,63,41,6.302017165629258,1216.2965527629824,25.685317009715654,Ammonium Sulphate
Satara,Clayey,Cotton,32,40,43,7.124171943427757,806.28848544058,33.574926888804896,Urea
Pune,Black,Maize,84,60,52,6.29861237979339,592.7871218541223,25.441233527950075,Urea
Pune,Black,Soybean,83,31,33,7.406774934878311,712.9850085204994,23.489705140980504,Ammonium Sulphate
Kolhapur,Red,Pomegranate,94,59,50,7.493570850347173,756.5561939259836,26.71538949955439,19:19:19 NPK
Solapur,Red,Sugarcane,54,53,72,7.292943059105577,792.979398979069,34.50725237475159,10:26:26 NPK
Sangli,Black,Cotton,81,67,54,6.768606255302993,1437.1800710182968,29.23793532507816,20:20:0:13
Pune,Red,Sugarcane,53,40,63,5.944530392353253,744.822223953402,23.404684419824676,10:26:26 NPK
Sangli,Clayey,Grapes,41,59,46,7.216660583565916,848.4860519040575,25.69852997485668,MOP
Satara,Black,Cotton,55,51,57,6.668780877664119,478.4496560931685,25.037850431551064,20:20:0:13
Sangli,Black,Wheat,54,25,48,5.975075351033208,702.3041569089482,31.128431718851402,DAP
Pune,Black,Cotton,56,30,36,5.502140595987742,614.8619917393672,31.402362428806953,20:20:0:13
Solapur,Red,Moong,44,35,43,6.63906518494225,776.7252369053822,32.877675347595606,DAP
Pune,Black,Tur,42,67,53,7.174795078652585,1102.3481670827427,22.443145121645475,10:26:26 NPK
Satara,Black,Soybean,67,71,71,6.087845322286096,1172.583470403958,25.56892043563132,Ammonium Sulphate
Solapur,Clayey,Grapes,95,63,61,7.338838009871012,1335.3652786196758,29.10048439643802,19:19:19 NPK
Solapur,Black,Cotton,84,43,57,6.457065499942677,811.9274150800119,28.959389359417777,Urea
Sangli,Red,Grapes,42,58,50,6.482731276242525,414.7981329138366,27.995674131380024,MOP
Sangli,Clayey,Soybean,38,29,40,6.2800226252682245,778.103145221435,23.828811961875815,DAP
Satara,Black,Cotton,55,51,76,7.04823296664576,1358.4063957389426,20.434487211399144,20:20:0:13
Kolhapur,Black,Soybean,59,73,45,7.061072185919727,854.6856573096334,23.05892822576291,Ammonium Sulphate
Satara,Red,Moong,45,38,50,6.296496089233097,1168.1223125382078,27.556934454451387,DAP
Solapur,Red,Wheat,50,76,59,7.108712866822823,1142.9462918943154,31.939293492845007,Ammonium Sulphate
Kolhapur,Clayey,Sugarcane,41,51,51,6.660362088318558,1103.0947643067557,34.941576739331545,Urea
Sangli,Clayey,Soybean,32,38,43,5.716254973022315,426.31132234282904,34.997323882311804,DAP
Kolhapur,Red,Maize,82,50,60,5.656020113935782,869.6813823882549,20.121707196567055,Urea
Pune,Black,Soybean,81,38,38,6.897011675776366,1413.3116747460995,24.05753920081085,Ammonium Sulphate
Satara,Black,Soybean,73,37,43,6.186762816607515,501.06201116210616,30.673183959384605,Ammonium Sulphate
Solapur,Red,Pomegranate,44,75,30,6.93945253362376,478.02833677537353,21.413062187972756,19:19:19 NPK
Sangli,Clayey,Grapes,90,77,65,6.090277076217641,732.1111735357829,32.395742155095974,19:19:19 NPK
Solapur,Clayey,Maize,74,53,43,7.359398379267138,1120.7933108289094,34.99559407048248,Urea
Sangli,Clayey,Soybean,47,43,60,6.079845864318986,774.0890655457159,25.157129555873464,DAP
Pune,Red,Pomegranate,98,36,67,6.439696303840608,564.1361747732718,29.490571346251244,19:19:19 NPK
Pune,Black,Cotton,99,48,32,5.914216146760826,1455.7922097162946,32.64378280440336,20:20:0:13
Kolhapur,Red,Pomegranate,63,45,55,7.059218623677316,435.8333448712994,26.85577574341094,19:19:19 NPK
Sangli,Clayey,Soybean,46,46,43,5.547254770842569,938.2741226914166,25.619666445022858,DAP
Kolhapur,Black,Tur,69,74,71,7.146211881507558,1477.425658894831,22.7448834326565,10:26:26 NPK
